"FREQ";"Y";"r xyce/I(PR3)";"i xyce/I(PR3)"
2e+11;0.000413568;-5.02061e-09;9.45188e-10
2.5e+11;0.000413568;-8.77107e-12;3.4378e-10
-2.5e+11;0.000433166;-1.15498e-11;-4.33242e-10
-2e+11;0.000433166;-6.05737e-09;-1.14603e-09
-1.5e+11;0.000433166;-1.5727e-07;1.32593e-07
-1e+11;0.000433166;5.2066e-07;6.03119e-06
-5e+10;0.000433166;-0.00115581;-0.000661198
0;0.000433166;-9.77772e-21;0
5e+10;0.000433166;-0.00115581;0.000661198
1e+11;0.000433166;5.2066e-07;-6.03119e-06
1.5e+11;0.000433166;-1.5727e-07;-1.32593e-07
2e+11;0.000433166;-6.05737e-09;1.14603e-09
2.5e+11;0.000433166;-1.15498e-11;4.33242e-10
-2.5e+11;0.000452764;-1.50884e-11;-5.40478e-10
-2e+11;0.000452764;-7.24952e-09;-1.37871e-09
-1.5e+11;0.000452764;-1.79883e-07;1.51441e-07
-1e+11;0.000452764;5.70302e-07;6.59267e-06
-5e+10;0.000452764;-0.00120801;-0.00069108
0;0.000452764;-4.78417e-20;0
5e+10;0.000452764;-0.00120801;0.00069108
1e+11;0.000452764;5.70302e-07;-6.59267e-06
1.5e+11;0.000452764;-1.79883e-07;-1.51441e-07
2e+11;0.000452764;-7.24952e-09;1.37871e-09
2.5e+11;0.000452764;-1.50884e-11;5.40478e-10
-2.5e+11;0.000472362;-1.95625e-11;-6.6804e-10
-2e+11;0.000472362;-8.61261e-09;-1.64682e-09
-1.5e+11;0.000472362;-2.04608e-07;1.72001e-07
-1e+11;0.000472362;6.22398e-07;7.17966e-06
-5e+10;0.000472362;-0.00126019;-0.000720959
0;0.000472362;-1.61919e-19;0
5e+10;0.000472362;-0.00126019;0.000720959
1e+11;0.000472362;6.22398e-07;-7.17966e-06
1.5e+11;0.000472362;-2.04608e-07;-1.72001e-07
2e+11;0.000472362;-8.61261e-09;1.64682e-09
2.5e+11;0.000472362;-1.95625e-11;6.6804e-10
