"FREQ";"Y";"r xyce/I(PR2)";"i xyce/I(PR2)"
5e+10;0.00068794;-1.11793e-19;-0.00034397
1e+11;0.00068794;7.80127e-21;-2.33737e-20
1.5e+11;0.00068794;2.78126e-20;-6.98994e-20
2e+11;0.00068794;2.80356e-20;-5.66776e-20
2.5e+11;0.00068794;2.84817e-20;1.28736e-20
-2.5e+11;0.000707538;1.54675e-20;-1.66699e-20
-2e+11;0.000707538;5.60161e-20;1.57248e-21
-1.5e+11;0.000707538;3.72963e-20;3.0655e-20
-1e+11;0.000707538;4.88281e-21;5.36884e-20
-5e+10;0.000707538;-1.22843e-19;0.000353769
0;0.000707538;1.41846e-20;0
5e+10;0.000707538;-1.22843e-19;-0.000353769
1e+11;0.000707538;4.88281e-21;-5.36884e-20
1.5e+11;0.000707538;3.72963e-20;-3.0655e-20
2e+11;0.000707538;5.60161e-20;-1.57248e-21
2.5e+11;0.000707538;1.54675e-20;1.66699e-20
-2.5e+11;0.000727136;1.90782e-20;1.70833e-20
-2e+11;0.000727136;4.53435e-20;1.89143e-20
-1.5e+11;0.000727136;3.91883e-20;2.41902e-20
-1e+11;0.000727136;5.94344e-21;2.78976e-20
-5e+10;0.000727136;-1.23437e-19;0.000363568
0;0.000727136;5.36938e-20;0
5e+10;0.000727136;-1.23437e-19;-0.000363568
1e+11;0.000727136;5.94344e-21;-2.78976e-20
1.5e+11;0.000727136;3.91883e-20;-2.41902e-20
2e+11;0.000727136;4.53435e-20;-1.89143e-20
2.5e+11;0.000727136;1.90782e-20;-1.70833e-20
-2.5e+11;0.000746734;2.06929e-20;4.14917e-20
-2e+11;0.000746734;5.74661e-20;-9.42469e-21
-1.5e+11;0.000746734;3.13762e-20;2.57737e-20
-1e+11;0.000746734;8.40184e-21;4.95566e-20
-5e+10;0.000746734;-1.21548e-19;0.000373367
0;0.000746734;-3.93699e-20;0
5e+10;0.000746734;-1.21548e-19;-0.000373367
1e+11;0.000746734;8.40184e-21;-4.95566e-20
1.5e+11;0.000746734;3.13762e-20;-2.57737e-20
2e+11;0.000746734;5.74661e-20;9.42469e-21
2.5e+11;0.000746734;2.06929e-20;-4.14917e-20
-2.5e+11;0.000766332;2.44124e-20;-1.01546e-20
-2e+11;0.000766332;4.00386e-20;-2.4927e-20
-1.5e+11;0.000766332;2.76169e-20;1.35742e-20
-1e+11;0.000766332;1.45691e-20;2.81573e-20
-5e+10;0.000766332;-1.15053e-19;0.000383166
0;0.000766332;1.62124e-20;0
5e+10;0.000766332;-1.15053e-19;-0.000383166
1e+11;0.000766332;1.45691e-20;-2.81573e-20
1.5e+11;0.000766332;2.76169e-20;-1.35742e-20
2e+11;0.000766332;4.00386e-20;2.4927e-20
2.5e+11;0.000766332;2.44124e-20;1.01546e-20
-2.5e+11;0.00078593;2.3132e-20;-1.83083e-20
-2e+11;0.00078593;5.66361e-20;-1.4484e-20
-1.5e+11;0.00078593;2.61031e-20;5.44497e-20
-1e+11;0.00078593;1.18628e-20;7.98904e-21
-5e+10;0.00078593;-1.21716e-19;0.000392965
0;0.00078593;5.12549e-22;0
5e+10;0.00078593;-1.21716e-19;-0.000392965
1e+11;0.00078593;1.18628e-20;-7.98904e-21
1.5e+11;0.00078593;2.61031e-20;-5.44497e-20
2e+11;0.00078593;5.66361e-20;1.4484e-20
2.5e+11;0.00078593;2.3132e-20;1.83083e-20
-2.5e+11;0.000805528;3.66286e-20;1.87845e-20
-2e+11;0.000805528;4.91294e-20;1.01201e-21
-1.5e+11;0.000805528;2.65573e-20;5.83406e-20
-1e+11;0.000805528;1.30814e-20;2.11737e-20
-5e+10;0.000805528;-1.30085e-19;0.000402764
0;0.000805528;5.53305e-20;0
5e+10;0.000805528;-1.30085e-19;-0.000402764
1e+11;0.000805528;1.30814e-20;-2.11737e-20
1.5e+11;0.000805528;2.65573e-20;-5.83406e-20
2e+11;0.000805528;4.91294e-20;-1.01201e-21
2.5e+11;0.000805528;3.66286e-20;-1.87845e-20
-2.5e+11;0.000825126;3.29713e-20;2.09487e-20
-2e+11;0.000825126;5.23892e-20;2.88636e-20
-1.5e+11;0.000825126;1.49264e-20;8.25176e-20
-1e+11;0.000825126;1.24675e-20;4.56219e-20
-5e+10;0.000825126;-1.17531e-19;0.000412563
0;0.000825126;-3.30934e-21;0
5e+10;0.000825126;-1.17531e-19;-0.000412563
1e+11;0.000825126;1.24675e-20;-4.56219e-20
1.5e+11;0.000825126;1.49264e-20;-8.25176e-20
2e+11;0.000825126;5.23892e-20;-2.88636e-20
2.5e+11;0.000825126;3.29713e-20;-2.09487e-20
-2.5e+11;0.000844724;3.27664e-20;5.76235e-21
-2e+11;0.000844724;5.82055e-20;5.66645e-20
-1.5e+11;0.000844724;2.7094e-20;7.51743e-20
-1e+11;0.000844724;1.2382e-20;6.83108e-21
-5e+10;0.000844724;-1.31487e-19;0.000422362
0;0.000844724;2.4785e-20;0
5e+10;0.000844724;-1.31487e-19;-0.000422362
1e+11;0.000844724;1.2382e-20;-6.83108e-21
1.5e+11;0.000844724;2.7094e-20;-7.51743e-20
2e+11;0.000844724;5.82055e-20;-5.66645e-20
2.5e+11;0.000844724;3.27664e-20;-5.76235e-21
-2.5e+11;0.000864322;2.47576e-20;-5.00482e-20
-2e+11;0.000864322;5.00089e-20;1.67252e-20
-1.5e+11;0.000864322;4.11603e-20;1.17028e-19
-1e+11;0.000864322;4.64796e-20;2.83036e-20
-5e+10;0.000864322;-1.43735e-19;0.000432161
0;0.000864322;-2.94362e-20;0
5e+10;0.000864322;-1.43735e-19;-0.000432161
1e+11;0.000864322;4.64796e-20;-2.83036e-20
1.5e+11;0.000864322;4.11603e-20;-1.17028e-19
2e+11;0.000864322;5.00089e-20;-1.67252e-20
2.5e+11;0.000864322;2.47576e-20;5.00482e-20
-2.5e+11;0.00088392;3.50267e-20;3.10289e-20
-2e+11;0.00088392;6.40084e-20;3.38652e-20
-1.5e+11;0.00088392;3.03593e-20;5.77539e-20
-1e+11;0.00088392;5.70923e-21;4.11063e-20
-5e+10;0.00088392;-1.47267e-19;0.00044196
0;0.00088392;-1.36236e-20;0
5e+10;0.00088392;-1.47267e-19;-0.00044196
1e+11;0.00088392;5.70923e-21;-4.11063e-20
1.5e+11;0.00088392;3.03593e-20;-5.77539e-20
2e+11;0.00088392;6.40084e-20;-3.38652e-20
2.5e+11;0.00088392;3.50267e-20;-3.10289e-20
-2.5e+11;0.000903518;5.244e-20;4.45133e-21
-2e+11;0.000903518;3.13361e-20;-2.71481e-21
-1.5e+11;0.000903518;3.32491e-20;2.39989e-20
-1e+11;0.000903518;2.11177e-21;4.7602e-20
-5e+10;0.000903518;-1.42568e-19;0.000451759
0;0.000903518;2.25524e-20;0
5e+10;0.000903518;-1.42568e-19;-0.000451759
1e+11;0.000903518;2.11177e-21;-4.7602e-20
1.5e+11;0.000903518;3.32491e-20;-2.39989e-20
2e+11;0.000903518;3.13361e-20;2.71481e-21
2.5e+11;0.000903518;5.244e-20;-4.45133e-21
-2.5e+11;0.000923116;4.82959e-20;-6.54719e-21
-2e+11;0.000923116;3.08732e-20;-2.9151e-20
-1.5e+11;0.000923116;4.66724e-20;4.75464e-20
-1e+11;0.000923116;3.30539e-20;7.53202e-20
-5e+10;0.000923116;-1.5686e-19;0.000461558
0;0.000923116;-2.87262e-20;0
5e+10;0.000923116;-1.5686e-19;-0.000461558
1e+11;0.000923116;3.30539e-20;-7.53202e-20
1.5e+11;0.000923116;4.66724e-20;-4.75464e-20
2e+11;0.000923116;3.08732e-20;2.9151e-20
2.5e+11;0.000923116;4.82959e-20;6.54719e-21
-2.5e+11;0.000942714;4.14561e-20;1.25634e-20
-2e+11;0.000942714;5.82495e-20;6.08789e-20
-1.5e+11;0.000942714;3.55314e-20;1.27121e-20
-1e+11;0.000942714;1.6498e-20;-1.49457e-20
-5e+10;0.000942714;-1.57376e-19;0.000471357
0;0.000942714;-1.84771e-21;0
5e+10;0.000942714;-1.57376e-19;-0.000471357
1e+11;0.000942714;1.6498e-20;1.49457e-20
1.5e+11;0.000942714;3.55314e-20;-1.27121e-20
2e+11;0.000942714;5.82495e-20;-6.08789e-20
2.5e+11;0.000942714;4.14561e-20;-1.25634e-20
-2.5e+11;0.000962312;2.0133e-20;-2.07118e-21
-2e+11;0.000962312;5.93141e-20;7.88743e-20
-1.5e+11;0.000962312;4.9872e-20;5.05515e-20
-1e+11;0.000962312;1.20877e-20;3.2533e-21
-5e+10;0.000962312;-1.53004e-19;0.000481156
0;0.000962312;2.07236e-20;0
5e+10;0.000962312;-1.53004e-19;-0.000481156
1e+11;0.000962312;1.20877e-20;-3.2533e-21
1.5e+11;0.000962312;4.9872e-20;-5.05515e-20
2e+11;0.000962312;5.93141e-20;-7.88743e-20
2.5e+11;0.000962312;2.0133e-20;2.07118e-21
-2.5e+11;0.00098191;4.3158e-20;2.87553e-21
-2e+11;0.00098191;3.34924e-20;1.72139e-20
-1.5e+11;0.00098191;5.41679e-20;1.22807e-20
-1e+11;0.00098191;1.50537e-20;6.78899e-21
-5e+10;0.00098191;-1.68682e-19;0.000490955
0;0.00098191;2.01264e-20;0
