"FREQ";"Y";"r xyce/V(VIN)";"i xyce/V(VIN)"
-1.5e+11;0.000335176;5.32811e-07;6.82006e-07
-1e+11;0.000335176;-2.59578e-05;-4.12552e-05
-5e+10;0.000335176;0.0020136;0.0118315
0;0.000335176;1.27372;0
5e+10;0.000335176;0.0020136;-0.0118315
1e+11;0.000335176;-2.59578e-05;4.12552e-05
1.5e+11;0.000335176;5.32811e-07;-6.82006e-07
2e+11;0.000335176;2.00556e-08;8.07442e-09
2.5e+11;0.000335176;-1.03359e-09;-4.08028e-10
-2.5e+11;0.000354774;-1.37122e-09;5.42142e-10
-2e+11;0.000354774;2.51936e-08;-1.01132e-08
-1.5e+11;0.000354774;6.32198e-07;8.09399e-07
-1e+11;0.000354774;-2.90872e-05;-4.62377e-05
-5e+10;0.000354774;0.002131;0.0125232
0;0.000354774;1.27534;0
5e+10;0.000354774;0.002131;-0.0125232
1e+11;0.000354774;-2.90872e-05;4.62377e-05
1.5e+11;0.000354774;6.32198e-07;-8.09399e-07
2e+11;0.000354774;2.51936e-08;1.01132e-08
2.5e+11;0.000354774;-1.37122e-09;-5.42142e-10
-2.5e+11;0.000374372;-1.79155e-09;7.09657e-10
-2e+11;0.000374372;3.12648e-08;-1.25108e-08
-1.5e+11;0.000374372;7.43305e-07;9.51855e-07
-1e+11;0.000374372;-3.23954e-05;-5.15072e-05
-5e+10;0.000374372;0.00224835;0.0132149
0;0.000374372;1.72502;0
5e+10;0.000374372;0.00224835;-0.0132149
1e+11;0.000374372;-3.23954e-05;5.15072e-05
1.5e+11;0.000374372;7.43305e-07;-9.51855e-07
2e+11;0.000374372;3.12648e-08;1.25108e-08
2.5e+11;0.000374372;-1.79155e-09;-7.09657e-10
-2.5e+11;0.00039397;-2.30884e-09;9.16584e-10
-2e+11;0.00039397;3.8377e-08;-1.53053e-08
-1.5e+11;0.00039397;8.66805e-07;1.11025e-06
-1e+11;0.00039397;-3.58825e-05;-5.70643e-05
-5e+10;0.00039397;0.00236564;0.0139065
0;0.00039397;1.27837;0
5e+10;0.00039397;0.00236564;-0.0139065
1e+11;0.00039397;-3.58825e-05;5.70643e-05
1.5e+11;0.00039397;8.66805e-07;-1.11025e-06
2e+11;0.00039397;3.8377e-08;1.53053e-08
