"FREQ";"Y";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
-2e+11;0.000335176;-1.07347e-07;-1.98589e-08
-1.5e+11;0.000335176;-3.61818e-06;3.0698e-06
-1e+11;0.000335176;1.54112e-05;0.000180166
-5e+10;0.000335176;-0.0447336;-0.0255867
0;0.000335176;-4.00474e-20;0
5e+10;0.000335176;-0.0447336;0.0255867
1e+11;0.000335176;1.54112e-05;-0.000180166
1.5e+11;0.000335176;-3.61818e-06;-3.0698e-06
2e+11;0.000335176;-1.07347e-07;1.98589e-08
2.5e+11;0.000335176;-1.33218e-10;6.02109e-09
-2.5e+11;0.000354774;-1.82176e-10;-7.9948e-09
-2e+11;0.000354774;-1.35016e-07;-2.50783e-08
-1.5e+11;0.000354774;-4.29597e-06;3.64067e-06
-1e+11;0.000354774;1.73017e-05;0.000201927
-5e+10;0.000354774;-0.0473461;-0.0270817
0;0.000354774;1.10147e-21;0
5e+10;0.000354774;-0.0473461;0.0270817
1e+11;0.000354774;1.73017e-05;-0.000201927
1.5e+11;0.000354774;-4.29597e-06;-3.64067e-06
2e+11;0.000354774;-1.35016e-07;2.50783e-08
2.5e+11;0.000354774;-1.82176e-10;7.9948e-09
-2.5e+11;0.000374372;-2.4648e-10;-1.04555e-08
-2e+11;0.000374372;-1.67774e-07;-3.12957e-08
-1.5e+11;0.000374372;-5.05453e-06;4.27835e-06
-1e+11;0.000374372;1.93078e-05;0.000224944
-5e+10;0.000374372;-0.0499581;-0.0285765
0;0.000374372;-1.93242e-22;0
5e+10;0.000374372;-0.0499581;0.0285765
1e+11;0.000374372;1.93078e-05;-0.000224944
1.5e+11;0.000374372;-5.05453e-06;-4.27835e-06
2e+11;0.000374372;-1.67774e-07;3.12957e-08
2.5e+11;0.000374372;-2.4648e-10;1.04555e-08
-2.5e+11;0.00039397;-3.30257e-10;-1.34886e-08
-2e+11;0.00039397;-2.06229e-07;-3.86421e-08
-1.5e+11;0.00039397;-5.8987e-06;4.98658e-06
-1e+11;0.00039397;2.14308e-05;0.000249219
-5e+10;0.00039397;-0.0525695;-0.0300712
0;0.00039397;-2.7806e-21;0
5e+10;0.00039397;-0.0525695;0.0300712
1e+11;0.00039397;2.14308e-05;-0.000249219
1.5e+11;0.00039397;-5.8987e-06;-4.98658e-06
2e+11;0.00039397;-2.06229e-07;3.86421e-08
2.5e+11;0.00039397;-3.30257e-10;1.34886e-08
-2.5e+11;0.000413568;-4.38553e-10;-1.7189e-08
-2e+11;0.000413568;-2.5103e-07;-4.72594e-08
-1.5e+11;0.000413568;-6.83337e-06;5.76909e-06
-1e+11;0.000413568;2.36721e-05;0.000274756
-5e+10;0.000413568;-0.0551804;-0.0315656
0;0.000413568;-5.43831e-20;0
5e+10;0.000413568;-0.0551804;0.0315656
1e+11;0.000413568;2.36721e-05;-0.000274756
1.5e+11;0.000413568;-6.83337e-06;-5.76909e-06
2e+11;0.000413568;-2.5103e-07;4.72594e-08
2.5e+11;0.000413568;-4.38553e-10;1.7189e-08
-2.5e+11;0.000433166;-5.7749e-10;-2.16621e-08
-2e+11;0.000433166;-3.02868e-07;-5.73016e-08
-1.5e+11;0.000433166;-7.86352e-06;6.62966e-06
-1e+11;0.000433166;2.6033e-05;0.00030156
-5e+10;0.000433166;-0.0577907;-0.0330599
0;0.000433166;-2.96502e-21;0
5e+10;0.000433166;-0.0577907;0.0330599
1e+11;0.000433166;2.6033e-05;-0.00030156
1.5e+11;0.000433166;-7.86352e-06;-6.62966e-06
2e+11;0.000433166;-3.02868e-07;5.73016e-08
2.5e+11;0.000433166;-5.7749e-10;2.16621e-08
-2.5e+11;0.000452764;-7.54422e-10;-2.70239e-08
-2e+11;0.000452764;-3.62476e-07;-6.89353e-08
-1.5e+11;0.000452764;-8.99416e-06;7.57205e-06
-1e+11;0.000452764;2.85151e-05;0.000329634
-5e+10;0.000452764;-0.0604003;-0.034554
0;0.000452764;1.39683e-22;0
5e+10;0.000452764;-0.0604003;0.034554
1e+11;0.000452764;2.85151e-05;-0.000329634
1.5e+11;0.000452764;-8.99416e-06;-7.57205e-06
2e+11;0.000452764;-3.62476e-07;6.89353e-08
2.5e+11;0.000452764;-7.54422e-10;2.70239e-08
-2.5e+11;0.000472362;-9.78123e-10;-3.3402e-08
-2e+11;0.000472362;-4.3063e-07;-8.2341e-08
-1.5e+11;0.000472362;-1.02304e-05;8.60006e-06
